"time","nodes","links"
0.07,"1","0"
0.30,"2","0"
1.39,"1","0"
0.50,"0","0"
0.61,"0,2","0_1"
0.71,"1","0"
0.83,"1,0","1_0"
1.06,"1","0"
1.14,"2,0","0_1"
1.28,"1","0"
1.32,"2","0"
1.45,"0,1","1_0"
