"startTime","endTime","word","energy"
0,0.1875,"I've",83.9237213134766
0.1875,0.5375,"gotta",85.0305404663086
0.5375,0.76875,"turn",85.1049041748047
0.76875,1.0125,"out",84.0597305297852
1.0125,1.19375,"the",82.1100997924805
1.19375,1.5,"vote",85.2057418823242
